filename,emeg_original,emeg_sece,emeg_secedct,emeg_ghe,emeg_clahe
45000.jpg,0.9149665149293162,0.9504827158309788,0.9608002661263217,0.9522782050239917,0.919144758214888
48017.jpg,0.9295145347187356,0.9476100828621147,0.97182326958698,0.9487097170291827,0.9387377640820946
48025.jpg,0.9155048880577351,0.9338964136927929,0.8866226064560278,0.9342220346606559,0.9301867283784054
49024.jpg,0.8771291369919265,0.9094017080173632,0.9218371991855023,0.9106189883037145,0.9019939223503388
5096.jpg,0.91514564491047,0.9425602902806358,0.9056935691385215,0.9424390067759031,0.9291604076688869
51084.jpg,0.8949530363416318,0.9101276294368281,0.8924452042046415,0.9121239165356457,0.904143695943757
6046.jpg,0.8425036823655699,0.8615086299175135,0.8811709606765843,0.8651417410329697,0.8271134218469282
61034.jpg,0.915000220343134,0.9306540668888335,0.9259311546480005,0.931840286442232,0.9321847617891458
64061.jpg,0.911411218285918,0.9340410251625849,0.9179698743915218,0.9346417516285378,0.9310287689790097
65084.jpg,0.9021290554684788,0.9202879580372731,0.9331928225695606,0.923379008660722,0.9166409700543083
69000.jpg,0.9130218640967356,0.9373683123129276,0.9388023258329679,0.9424601433045277,0.9264832968249647
69007.jpg,0.8959688603513275,0.9255866240678096,0.9453218675052089,0.9317980243532203,0.9108865821774631
69022.jpg,0.9046402006560917,0.9392720979580931,0.9269090619279763,0.9413098511929681,0.9187870449578408
70011.jpg,0.878944440391201,0.9232933382046102,0.9133919981778079,0.9237218027151631,0.9093175953441153
70090.jpg,0.8927992063613609,0.9257202951472512,0.9465260692271131,0.9282054301385063,0.9038416845435827
71076.jpg,0.9192746045355038,0.9441487081541166,0.8945843995492381,0.9444859121270913,0.9203552878976515
71099.jpg,0.8745244801461274,0.900858154922993,0.9290879900677191,0.901866842874764,0.8835761938471721
77062.jpg,0.8985589432014499,0.9224526533504047,0.9134121301947744,0.9250536569767174,0.8721726733499859
78098.jpg,0.9192809352046968,0.9332726071167263,0.9580541178393498,0.9333532287654597,0.8979964045510632
79073.jpg,0.9097600875113855,0.9381325061340834,0.9521549952371573,0.9395527955018832,0.8959805228694528
80085.jpg,0.8777714042222158,0.9091817683163427,0.9251293769340068,0.9137417125928488,0.8992702464910143
80090.jpg,0.8965047250873334,0.9546567436804327,0.9215939723039963,0.9600761856331167,0.9147088502934658
8068.jpg,0.900191845175928,0.9288752401546165,0.9229697385652075,0.9316767528501346,0.9239206865946439
81066.jpg,0.9141216730358059,0.937043297896577,0.9302186952754435,0.9389733542788233,0.9297068569225505
81090.jpg,0.9029989247599013,0.9156078295641052,0.9380466009290376,0.9183958127325075,0.9162412623936101
81095.jpg,0.8966804204026801,0.9176706683024807,0.9341333670047468,0.9186268499117513,0.9094445949154523
87015.jpg,0.9130119616065827,0.9392837811090711,0.9531120125418063,0.9402209021530045,0.8754981985848352
